Unique_Skills
CPU's
CRM
CRM systems
CSI
CSS
Cabling and laying of cables
Cadence
CalBench
Calculates and posts month end and year-end accruals as needed
Calculator
Calculus
Calibration
Calm Under Pressure
Calm under pressure
Capital Markets
Careful and active listener
Carpentry
Cases
Cash
Cash Flow Statements
Cash Handling
Cash Management
Cash Register
Cash flow analysis
Cash-Flow
Cashier
Catalog
Catalysis
Catia
Catsweb
Ceridian
Cerner
Chain Management
Change Management
Change management
Charts
ChasePaymentech
Chatbot
Chemical Engineering
Chemical Engineering technician
Chemistry
Circuit Boards
Circuit Design and Analysis
Cisco
Cisco iOS
Civil Engineer
Civil Engineering
Clarity
Class
Classification
Classroom Monitoring
Clerical
Clerk
Client
Client Development
Client Engagement
Client Management
Client Relations
Client Relations Development
Client Support
Client engagement
Client liaison
Client management
Client relations
Client-focused
Client/server
Clients
Closing
Closings
Cloud
Cloud Architecture
Cloud Computing
Cloud Infrastructure
Cloud Management
Cloud-Testing
Cluster Analysis
Clustering
Clustering Analysis
Coach
Coaching
Coaching/Mentoring
Code Blocks
Coded the general ledger and processed vendor invoice payments.
Coding
Cognos
Cold calling
"Collaborating with stakeholders - Roadmap, Managing releases, Demos, Risk mitigation planning"
Collection
College Math
Com
Combinatorial Optimizations
Comfortable working at heights and odd locations
Communication
Communication Skills
Communication skills
Communication/Presentations
Communicator
Community Health
Community Outreach
Company Platforms: Business Objects
Company Platforms: DRAS
Company Platforms: Eagle
Company Platforms: Lombardi
Company Platforms: Pega
Company Platforms: Workbench
Compensation administration
Compensation/payroll
Competency in procedure development
Competitive Analysis
Complex Problem Solving
Complex problem solver
Complex problem solving
Compliance testing knowledge
Compliance/Auditing/Assurance
ComplyRight
Compound Synthesis
Compounding
Comprehensive Large Array Data Stewardship System
Computer Applications
Computer Graphics
Computer Management
Computer Proficiency
Computer Programming
Computer System Building and Repair
Computer Systems
Computer Vision
Computer literate
Computer proficient
Computer sales
Computer systems
Computer vision
Computersavvy
Conferences
Conflict Management
Conflict resolution
Consistently meet goals
"Construct, test and troubleshoot AC/DC circuits"
Construction Management
Consultant
Consulting
Content
Content Development
Content Management
Contextual Reasoning
Continuous Improvement
Contract Negotiation
Contract Negotiations
Contract administration
Contracts
Control System Design
Control Systems
Controller
Conversational AI
Conversion
Coordination
Core Java
Corporate Finance
Corrective Maintenance
Correlation Analysis
Correspondence
Cost Control
Cost analysis
Cost reduction
Cost reduction and avoidance
Cost-benefit analysis
Council
Counseling
Cpa
Create circuits with Multisim CAD software
Creating & Updating documentation
Creative Problem Solving
Creative Solutions Bookkeeping Software
Creative problem solving
Creative thinker
Creativity and imagination
Credit
Credit Risk
Credit Risk Modeling
Critical Thinking
Critical Thinking with Root Cause Analysis
Critical thinker
Critical thinking
Critical thinking skills
Cross-functional Team Leadership
Cryptography
Crystal Reports
Crystal ball
Css
Customer Analytics
Customer Care and Satisfaction
Customer Engagement
Customer Relations
Customer Relationship Management
Customer Service
Customer Support
Customer analytics
Customer needs assessment
Customer satisfaction
Customer service
Customer services
Cyber Ethics
DB2
DBA
DBMS
DC
DFMEA
DHCP
DHCP/DNS Ethernet and Firewall proficient
DIRECTOR
DMAIC
DMF and Project Work Process
DNN
DNS
DOE (design of experiment)
DOORS
DRAS
DTS
DVB
DVP&R
Dashboards
DasyLab
Data & Network Management
Data Acquisition
Data Analysis
Data Analyst
Data Analytics
Data Arbitration
Data Cleaning
Data Cleansing
Data Collection
Data Engineer
Data Entry
Data Exploration
Data Extraction
Data Handling
Data Insights
Data Integration
Data Integrity
Data Interpretation
Data Management
Data Manipulation
Data Mining
Data Modeling
Data Modelling
Data Preparation
Data Processing
Data Programming
Data Reporting
Data Science
Data Scientist
Data Structure
Data Structures
Data Transition
Data Validation
Data Visualization
Data Warehousing
Data Wrangling
Data analysis
Data analysis techniques
Data computation libraries in python
Data entry
Data gathering
Data modeling
Data processing
Data science
Data storage
Data structures
Data trending knowledge
Data visualisation
Data visualization
Database
Database Management
Database Management System
Database Management and Processing
Database Programming
Database Systems
"Database and Tools: Oracle 11g, Oracle 12c, PostgreSQL, MongoDB, PGAdmin 4, SQL Developer, SQL management studio, Toad, DB2"
Database management
Database management system and administration
Database servers
Databases
Dataset Management
Dax
Db2
Dbase
Dbase Iv
Deadline Compliance
Deadline-oriented
Deadlines focused
Debugging
Dec
Decision Tree
Decision Trees
Decision tree
Decision-making
Decisive
Decisive leader
Deep Learning
Deep learning
Defect Detection
Defect Management
Delivery
Dell
Demand creation pursuits
Demonstrated organizational/planning skills
Dependable
Design Review
Design and Construction
Design and drafting of custom seal solutions
Design for manufacturing
Design process
Designer 2000
Designing
"Desktop Publishing Software: Photoshop, Illustrator, HTML"
Detail drawings
Detail oriented
Detail-oriented
Detail-oriented understanding that any downtime must be minimized if not avoidable
"Determine voltage, current, resistance and power by calculations and measurements"
Determined
Develop drug
Develop products in consumer electronics
Developed reconciliation format
Developer
Developer 2000
Developing other Business Analyst
Device Drivers
Devops
Dexterous with hand tools
Diagnosis and repair
Diagnostic Software Utilities
Dialysis
Differential Equations
Digital Design
Digital Logic
Digital communications with fiber optics
Digital logic
Digital signal processing
Direct Marketing
Direct Sales
Direct sales
Direction
Director
Discrete Control system (DCS)
Discrete Mathematics
Dispatching
Django
Dmm
Docker
Document Manager Software
Document control
Document management
Document management testing
Document reports
Documentation
Documenting operational procedures
Doors
Dos
DotNet
Drafting
Drilling engineering
"Drive, motivation and initiative"
Driver Booster
Driving
Driving License
Dropbox
Dynamic AX
E-business
E-learning
E-mail
EDA
EHRs
EIT
"EMV Systems : BTT (UL), ICCVerify, VCMS, VTS, Astrex, Discover RCT, ATS, MAS, MDFS, ACI-Interchange, ACI-PRM, ACI- ADM, TSYS CertifyNow, FirstData CertPro and more"
EPIC
ER/Studio
ERP
"ERP (Alliance, Global Shop, XA, SAP)"
ERP (Enterprise Resource Planning) software
ERP : Microsoft AX Dynamics
ERP implementation
ERP-SAP
ERP/Accounting systems Proficiency
ESD
ESL Students
ETAP
ETL
Eagle Accounting System
Easy Power
Eclipse
Eclipsys
Econometrics
Economic Analysis
Edge
Educated
Effective Multitasking
Effective leader
Effective time management
Efficient multi-tasker
Elastic Search
Electrical
Electrical Engineer
Electrical Engineering
Electrical Mechanical
Electrical Mechanical Systems
Electrical Test
Electrical drafting
Electrical systems
Electronic & Mechanical Technology
Electronic circuit analysis
Electronics
Electronics I
Emacs
Email
Embedded C
Embedded Hardware & Software
Embedded Linux
Embedded Software Development
Embedded Systems
Emperical Modelling
Employee Management
Employee relations
Employee training
Employee training and development
Encryption
Energetic
Energy Manager
Engineer
Engineer-In-Training
Engineering Design
Engineering Economy
Engineering Ethics
Engineering Management
Engineering cost estimating
Engineering operational functions
Engineering resource management and forecasting
Engineering standards
Engineering standards expert
English
Enterprise
Enterprise Software
Entry Level
Environmental Science
Epicor
Equipment calibration
Equipment maintenance
Equity
Ergonomic and Safety Conscious
Ergonomics
Esd
Essbase
Established track record of exceptional sales results
Establishing goals and setting priorities
Estimating
Estimation
Ethernet
Excel
Excel in [areas of expertise]
Excellent Multitasker
Excellent Verbal And Written Communication Skills
Excellent at Networking
Excellent communication
Excellent communication and presentation skills
Excellent communication techniques
Excellent customer service skills.
Excellent facilitator
Excellent managerial techniques
Excellent negotiating tactics
Excellent problem solver
Excellent time management skills
Excellent writing skills
Excellent written
Exceptional interpersonal communication
Exceptional interpersonal skills
Exceptional telephone etiquette
Exceptional time management
Exchange
Executive Assistant
Executive Decision Maker
Executive Management Support
Expense control
Experience with AutoCAD
Experienced Manager
"Experienced with Microsoft Office - Word, Excel, Outlook, SharePoint & Costpoint"
Experiments
Expert in MS Office Suite
Expert in customer relations
Exploratory Data Analysis
Express
FACET
FAS Asset Accounting
FASB & GAAP standards
FAX
FDS
FM
FMEA
FORTRAN
FRX
FTP
Facilities Management
Facility and plant modifications
Facility management
Failure Analysis
Failure Modes and Effective Analysis (FMEA)
Failure analysis
Falcon Dust-Off Compressed Gas Duster
"Familiar in C+, C++, Java script, SQL, Visual Studio, Microsoft Team Foundation, Microsoft Test Manager, Tera Term, GShell, Linux, OSi"
Fannie Mae
Fast
Fast Learner
Fast learner
Features
Featurization
Federal Acquisition
Federal Government
Federal Government experience
Fedex
Fiber Brains
Fiber optics
File
File Maintenance
File Structures
Filing
Finance
Financial
Financial Accounting
Financial Analysis
Financial Analyst
Financial Management
Financial Performance assessment
Financial Planning
Financial Reporting
Financial Risk Management
Financial Statements
Financial analysis
Financial and accounting
Financial planner
Financial planning and analysis
Financial reporting
Financial reports
Financial statement analysis
Financial statements
Financials
Financials Budgeting & Forecasting
Fire protection
Firebase
Firewall
Firewall setup
First Aid
First Article Inspection
First aid
Fixed Asset Solutions Software
Fixed Assets
Fixed assets
Flask
Flask API
Flexible
Flexible team player
Fluent in English
Fluent in Spanish
Fluke 115 Compact True-RMS Digital Multimeter
Flutter
Focus
Focus Integrated ERP software for Retail Garment Stores
Food Safety
Food safety
For Selling
Forecasting
Forecasting and planning
Foresight Imaging Systems trained on DICOM protocols
Forklift and Crane Certification
Forms
Forward-thinking mindset
Fraud Detection
Friendly
From Sales
Front End
Front Office
FrontEnd
Ftp
Full Accounting cycle
Full Life Cycle
Functional
Functional requirements
Fundraising
Funds
G/l
GAAP understanding
GCP
GD&T
GDB
GIS
GIT
GL
GLACIER Tax Prep
GPS
GPT
GPU
GRU
GUI
Gage R & R
Game Theory
Gantt Chart Scheduler
General Accounting
General Ledger
General Ledger Accounts
General Ledger accounts
General ledger
General ledger accounting
General ledger accounting skills
General ledger accounts
General ledger proficiency
Generally Accepted Accounting Principles
Generally Accepted Auditing Standards
Generating Bill of Materials
Geometric dimensioning
Geometry
Git
GitHub
Github
Glove
Goals and performance
Good Team player
Good analytical skills
Google Bigquery
Google Calendar
Google Colab
Google Docs
Google Documents
Google Drive
Government
Government Contracts
Government Sell-Offs
Grading and Evaluation
Grants
GraphQL
Graphic
Graphical User Interface
Graphs
Great Plains
Great Plains Dynamics
Groupwise
Gse
Gui
Guided Mechanisms
H.264
HBOC
HEAT
HLS
HOST Software
HP
HP ALM Quality center
HP NetServers
HP QTP
HPC
HR
HTML
HTML 5
HTML coding
HTML programming
HTML/ CSS
HTML/CSS
HTML5
HTTP
HVAC
HWiNFO
Hadoop
Hammer
Hand tools
"Hands On Training: Electrical, Pluming, Painting, Full Finish, Wall Paper"
Hardware
Hardware & Software design
Hardware Design
Hardware and Software Installation
"Hardware: Dell, HP, IBM/Lenovo, Apple, Microsoft, desktop, laptops. Android Smartphones tables, and wearables. iPhones and iPads. Printers, Routers, Switches, Modems, Wireless Routers, Video Conferencing equipment (TV, Projectors, Microphones, Speakers)"
Hardworking
Harvard Graphics
Haskell
Have interpersonal skills to deal effectively with all business contacts.
Hdfs
HelioScope
Help Desk Support
Heroku
Heuristics
High attention to Details
High efficiency
Highly Organized
Highly dependable
Highly responsible and reliable
Hindi
Hiring and retention
Hive
Hive(HQL)
Honest
Horizontal
Hospital Pharmacy
Html
HuggingFace
Human Resource
Human Resource Management
Human Resources
Hungry for growth and continuous learning
Hydraulic Testing
Hydraulics
Hyperion
Hyperion Essbase
Hypothesis Analysis
I-MAX
IAM
IBM
IBM Rationale DOORS
IBM SPSS
IBM Watson
IBM-PC
ICGS / IDDS
IDX
IDs
"IEC 61131 (Ladder Logic, Functional Block Diagram, Structured Text, Instruction List.)"
IFRS
IIS 5
IIS 6
IIa
IMAGE Scanner Asset Manager -10-key; Printers & Scanners; general office tools
IMS
IOs in SAP
IP
IP addressing
ISO
ISO 9000
ISO 9001
ISO 9001/AS9100 standards
ISO-9001 standards
ISO9001 and AS9100 auditing
"IT skills (Shopper, Tally, Voyager)"
IT support services
ITIL v
Identifies vendors requiring an IRS Form 1099 and prepares the form and transmittal
Identify electronic components and schematic symbols
Ieee
Illustrator
Image
Image Freeway
Image Processing
Image Segmentation
Image processing
Imaging
Implemented Sales
Implementing Effective Internal Controls
"Implementing, Configuring network and End User Security"
Improving Accounting and Internal Control Systems
InDesign
Increase
Individual tax returns
Industrial Electricity
Industrial Machinery
Influencing and negotiation
InfoLease for Lease and Financial Accounting & CITConnect Research
Informatica
Information Technology
Information security
Initiative to work independent
Initiative to work independently
Injection Molding
Innovation
Insights
Inspecting
Inspection
Inspections
Inspector
Inspects
Installation of hardware
Installation of network components
"Installing, Configuring, Troubleshooting SoHo Networks"
"Installing, Configuring, Troubleshooting Windows, Linux and OS X"
Instructing
Instructional Design
Instructor
Instrumentation and Controls
Insurance
Integrated Reporting Information System (IRIS)
Integrating content protection systems
Integration
Integration Testing
Integrator
Intel
International Business
Internet
"Internet Accounting, Finance and Tax Research - Lexis-Nexis, CCH & RIA Tax Research"
Internet Explorer
Internet Research
Internet applications
Interoperability
Interpersonal Communication
Interpersonal and Communication Skills
Interpersonal communication skills
Interpersonal skills
"Interpersonal, active-listening, and critical thinking skills"
Interviewing Techniques
Intuit Payroll
Intuit ProSeries
Inventor
Inventory
Inventory & Purchases
Inventory Control
Inventory Management
Inventory control
Inventory management and Control
Investment Banking
Investment Research
Investments
Investor Relations
Invoice
Invoice Processing
Invoice coding familiarity
Invoicing
Ipx
Issue resolution
Issues Management
Its
JAVA
JAX
JCL
JD Edwards
JD Edwards/AS 400
JDBC
JDE
JIRA
JQuery
JSON
JUnit
JVM
JVS
Java
Java 1
Java 2
Java Programming
Java Script
JavaScript
JavaScript (Angular)
Javascript
Jenkins
Jira
Job Costing
Job costing
Journal
Julia
Jupyter
Jupyter Notebook
K-Means
KNN
KPI's
KRONOS
Kafka
Kaizen
Kanban
Keane Care
Keras
Key Account Management
Key Accounts
Key Aspect Analysis
Key decision making
Keynote
Kibana
Kind
Know-your-consumer (KYC)
Knowledge of manufacturing test methodologies.
Kotlin
Kubeflow
Kubernetes
L1 L2 Regression
LAN
LAN aptitude
LASER
LATEX
LFACs
LSTM
LSTMs
LX
LXC
LaTeX
LabView
Labor relations
Labview
Lacerte
Lacerte Tax Preparation Software
Lan
Languages
Laravel
Laser
Lasso Regression
Law
Law Enforcement
Lead Development
Lead development
Leadership
Leadership Development
Leadership Development Program
Leadership mentoring
Leadership skills
Leadership training
Lean & Six Sigma Practitioner
Lean Manufacturing
Lean Manufacturing and Management
Lean Manufacturingâ€‹
Lean manufacturing
Lean/5S
Lean/six sigma principles
Learning Algorithm
"Learning Management: Saba LMS, Success Factors LMS, Webex, Pedague Testing System"
Lecturer
LeetCode
Legal
Lending
Letters and Memos
Life Insurance
Lighting
Linear Regression
Linux
Linux OS
Linux and OS
Linux programming
Live Electrical
Loans
Local remoter systems support
Lock-Out/Tag-Out
Logic
Logic analyzer
Logistic Regression
Logistic regression
Logistics
Lombardi
Loss Optimization
Lotus
"Lotus I, II, III"
Lotus Notes
Lotus Sametime
Low and High voltage devices
Low voltage power consumption
Lucene
Lucidchart
M&E
MA
MAC
MAC OS
MACESS
MAS 90
MAS90
MATLAB
MB
MBA
MCSE
MFC
MIPS Assembler
MIS
MIS reporting
ML Algorithms
ML Engineer
MLOPS
MP4
MPEG
MRP
MS
MS Access
MS Excel
MS Excel/ MS Office
MS FrontPage
MS Office
MS Office Suite
MS Office applications
MS Office proficiency
MS Office proficient
MS Office: Database
MS Office: Outlook
MS Office: Pivot tables
MS Office: V-look up
MS Outlook
MS Power Point
MS PowerPoint
MS Project
MS Visio
MS Visual Studio
MS Word
MS office
MS-Excel
MSA
MSI
MSSQL
MYOB
MYSQL
Mac
Mac OS
Mac OSX
Mac iOS
Machine Learning
Machine Learning Engineer
Machine Learning Engineering
Machine learning
Machinery
Macintosh
Macro Media Director
Macros
Mail
Mailing
Mainframe
Maintain documentation
Maintain inventory
Maintains files
Maintenance
Maintenance Management
Maintenance Repair
Malwarebytes
Managed Sales
Management
Management Skills
"Management Training, Team Builder, Outlook Training, Excel Training, Hotsos Training, Stratton Warren ""MMS"""
"Manages the Corporate VISA accounts for managers and volunteers, including ordering and canceling cards, processing corporate Visa accounts for payment, and resolving discrepancies"
"Manages the accounts payable function - including employee/volunteer reimbursement - from processing incoming invoices, through cost center coding, approval by appropriate party, input into the system, to check preparation and mailing"
Managing
Managing multiple priorities
Manual Testing
Manufacturing
Manufacturing Process
Manufacturing engineer
Manufacturing process controls
Manufacturing process development and improvement
Manufacturing systems integration
Manufacturing yield improvement
Maple
Mapreduce
Marconi
Market
Market Analysis
Market Analysis/Competitive Positioning
Market Basket Analysis
Market Evaluation
Market Expansion
Market Research
Market Share
Market Trends
Market and development
Marketing
Marketing & Sales
Marketing Collateral
Marketing Department
Marketing Plan
Marketing Strategies
Marketing Strategy
MatLab
Material Management
Material Science
Material science
Materials
Mathcad
Mathematical modeling
Mathematical modelling
Mathematics
Matlab
Matplotlib
Mba
McAfee Endpoint Security
Mckesson
Measurement and layout
Mechanical
Mechanical Component Troubleshooting
Mechanical Design
Mechanical Engineering
Mechanical Technician
Mechanical processes
Mechanical repair
Mechanical/electrical Engineer
Mechanically-inclined
Media Relations
Mediation expertise
Medical Devices
Medlin
Meetings
Memtest86
Mentor
Mentoring
Merchandising
Mercurial
Messaging
Method Development
Meticulous attention to detail
Metrics
MicroStation
Microcontroller
Microcontrollers
Microprocessors
Microsoft
Microsoft (MS) Access
Microsoft Access
Microsoft Access 2010
Microsoft Accounting Office
Microsoft Applications
Microsoft Azure
Microsoft Dynamics
Microsoft Excel
"Microsoft Excel expert - Pivot Tables, V-Lookups, Formulas"
"Microsoft Excel, Project and Visio"
Microsoft NT server
Microsoft Office
"Microsoft Office (Word, Excel, Power Point, Outlook)"
Microsoft Office - Word
Microsoft Office 2003-2011
Microsoft Office Suite
Microsoft Office applications
"Microsoft Office including Word, Excel, PowerPoint, Outlook, Publisher"
Microsoft Office proficiency
Microsoft Office software
Microsoft Office: Word / Advanced MS Excel skills /MS Access / PowerPoint / Outlook
Microsoft Outlook
Microsoft Power Pivot
Microsoft PowerPoint
Microsoft Project
Microsoft SQL
Microsoft Sharepoint
Microsoft Teams
Microsoft Visio
"Microsoft Visio, 2008-2010"
Microsoft Windows
Microsoft Windows 10
Microsoft Windows NT Server
Microsoft Word
Microsoft Word/Excel
Microsoft applications
Microsoft office
Microsoft office Suite (2013)
Microsoft office applications
Microsoft technologies
Microsoft word
Microstation
Middle School & High School Math
Migration
Mini-tab
MiniTab
Minitab
Minute Taking
Mobile device Support
Model Building
Model Development
Modeling
Modems
Money
MongoDB
Monitoring and evaluation skills
Monitors
Monthly Sales
Mortgage
Mortgage Banking
Mortgage Lending
Motivated
Motivational
Motorola
Mozilla Thunderbird
Ms Access
Ms Exchange
Ms Office
"Ms Office Suite (Word, Excel, Project, PowerPoint, Access, Outlook, Visio)"
Ms Visual Basic
Ms Visual Studio
Ms-dos
Multi-State Sales Tax Filing
Multi-Task Management
Multi-tasking
Multi-tasking management
Multidisciplinary exposure
Multimeters
Multivariate Analysis
Munis
MySQL
NAS
NASTRAN
NDS
NDT Level II
NEC
NGS Systems
NICs
NLP
NLTK
NPI/JDM/ODM
Nanovision
NationalElectric Code (NEC)
Natural
Natural Gas
Natural Language Processing
Natural language Processing
Natural language processing
Naval
Navy
Negotiating skills
Negotiation
Negotiations
"Net, photo, agile, analyst"
NetSuite
Netbeans
Netbeui
Netscape
Netscape Messenger
Network
Network Management
Network Protocols
Network Security
Network design
Networking
Networking I
Networking Support
"Networking: TCP/IP, DNS, DHCP, LAN/WAN, VPN/Remote Connectivity - OpenVPN, some basic Cisco iOS, Microsoft Virtual PC/Hyper-V, TeamViewer, Terminal Services, Netgear, Linksys, Firewall, Ports, experience in Routing & Switching (OSPF / BGP / VLAN / STP)"
Networks
Neural Networks
Neural Networks.
Neural networks
New Business Development
New Product Development
New Products
New business development
New hire orientation
New product design and development
NoSQL
Node.Js
NodeJS
Novell
NumPy
Numbers
Numerical Analysis
Numerical and analytical ability
Numpy
OCR
OMB Circular A-133
OOP
ORCAD
OS
OS/2
OSHA regulations
OSPF
OSS
OSX
OWASP ZAP
Object Oriented Programming
Object-oriented programming
Objective Analysis
Objective C
Octave
Of Sales
Office
Office Administration
"Office Equipment such as copiers, calculators, printers, and scanners"
Office Management
Office Manager
Office Master System
Office equipment
Office suite
Oil
On-call tech support
One Note
Open Source
OpenCV
OpenGL
Operating System knowledge
Operating Systems
"Operating Systems: Unix-AIX, Unix-Solaris, Linux, Windows, IBM-AIX"
"Operating Systems: Windows 7-10, Ubuntu 14.04, OS X 10.8-10.11, ChromeOS, iOS9, Android"
Operating Systems: XP Windows Professional / Windows 7/ Windows 8
Operational analysis
Operations
Operations Management
Operations management
Optimization
Oracle
Oracle 8I
Oracle Financials
Oracle database
Oracle experience
OracleDB
Oral
Oral and written communication
Oral communication
Orcad
Ordering
Organization
Organizational
Organizational Skills
Organizational and planning skills
Organizational skills
Organized and detail-oriented
Oscilloscope
Oscilloscopes
Out of the box thinking
OutLook
Outgoing
Outlook
Outlook Express
Outpatient
Overall Sales
P & L Management
P&L Management
PASCAL
